,ori_node,des_node,ori_layer,des_layer
532,26219.0,2837.0,2.0,2.0
533,26219.0,8020.0,2.0,2.0
534,26219.0,33225.0,2.0,2.0
535,26219.0,33257.0,2.0,2.0
536,26411.0,9685.0,2.0,2.0
537,26411.0,45998.0,2.0,2.0
538,26481.0,4480.0,2.0,2.0
539,26481.0,12678.0,2.0,2.0
540,26481.0,43846.0,2.0,2.0
541,26481.0,48282.0,2.0,2.0
542,26773.0,2760.0,2.0,2.0
543,26773.0,11801.0,2.0,2.0
544,26773.0,35540.0,2.0,2.0
545,26777.0,6245.0,2.0,2.0
546,26777.0,6612.0,2.0,2.0
547,26777.0,12281.0,2.0,2.0
548,26777.0,23348.0,2.0,2.0
549,26777.0,32412.0,2.0,2.0
550,26777.0,36634.0,2.0,2.0
551,26777.0,39932.0,2.0,2.0
552,26777.0,41470.0,2.0,2.0
553,27200.0,2676.0,2.0,2.0
554,27200.0,7458.0,2.0,2.0
555,27200.0,7980.0,2.0,2.0
556,27200.0,8142.0,2.0,2.0
557,27200.0,9323.0,2.0,2.0
558,27200.0,10548.0,2.0,2.0
559,27200.0,12678.0,2.0,2.0
560,27200.0,16766.0,2.0,2.0
561,27200.0,21046.0,2.0,2.0
562,27200.0,22307.0,2.0,2.0
563,27200.0,25380.0,2.0,2.0
564,27200.0,26481.0,2.0,2.0
565,27200.0,33514.0,2.0,2.0
566,27200.0,33810.0,2.0,2.0
567,27200.0,34450.0,2.0,2.0
568,27200.0,34874.0,2.0,2.0
569,27200.0,35084.0,2.0,2.0
570,27200.0,35134.0,2.0,2.0
571,27200.0,35504.0,2.0,2.0
572,27200.0,37770.0,2.0,2.0
573,27200.0,42049.0,2.0,2.0
574,27200.0,44156.0,2.0,2.0
575,27200.0,47492.0,2.0,2.0
576,27200.0,49630.0,2.0,2.0
577,27851.0,6675.0,2.0,2.0
578,27851.0,34946.0,2.0,2.0
579,28158.0,16585.0,2.0,2.0
580,28158.0,46199.0,2.0,2.0
581,28376.0,2523.0,2.0,2.0
582,28376.0,3438.0,2.0,2.0
583,28524.0,20346.0,2.0,2.0
584,28524.0,23348.0,2.0,2.0
585,28524.0,28622.0,2.0,2.0
586,28558.0,2097.0,2.0,2.0
587,28558.0,11652.0,2.0,2.0
588,28622.0,249.0,2.0,2.0
589,28622.0,4663.0,2.0,2.0
590,28622.0,4919.0,2.0,2.0
591,28622.0,7300.0,2.0,2.0
592,28622.0,12582.0,2.0,2.0
593,28622.0,20346.0,2.0,2.0
594,28622.0,23348.0,2.0,2.0
595,28622.0,25881.0,2.0,2.0
596,28622.0,27192.0,2.0,2.0
597,28622.0,28524.0,2.0,2.0
598,28622.0,29517.0,2.0,2.0
599,28622.0,39490.0,2.0,2.0
600,28622.0,48562.0,2.0,2.0
601,29072.0,4290.0,2.0,2.0
602,29072.0,11215.0,2.0,2.0
603,29271.0,4480.0,2.0,2.0
604,29271.0,4570.0,2.0,2.0
605,29271.0,16766.0,2.0,2.0
606,29271.0,35082.0,2.0,2.0
607,29298.0,32625.0,2.0,2.0
608,29298.0,34544.0,2.0,2.0
609,29371.0,12678.0,2.0,2.0
610,29371.0,38732.0,2.0,2.0
611,29371.0,44995.0,2.0,2.0
612,30231.0,16498.0,2.0,2.0
613,30231.0,20201.0,2.0,2.0
614,30231.0,26104.0,2.0,2.0
615,30363.0,335.0,2.0,2.0
616,30363.0,2760.0,2.0,2.0
617,30363.0,5002.0,2.0,2.0
618,30363.0,9685.0,2.0,2.0
619,30363.0,13745.0,2.0,2.0
620,30363.0,25380.0,2.0,2.0
621,30999.0,23871.0,2.0,2.0
622,31640.0,19516.0,2.0,2.0
623,31640.0,22872.0,2.0,2.0
624,31640.0,45998.0,2.0,2.0
625,31956.0,58.0,2.0,2.0
626,31956.0,351.0,2.0,2.0
627,31956.0,20954.0,2.0,2.0
628,31956.0,34697.0,2.0,2.0
629,32217.0,9685.0,2.0,2.0
630,32217.0,47492.0,2.0,2.0
631,32268.0,49716.0,2.0,2.0
632,32268.0,50543.0,2.0,2.0
633,32412.0,4554.0,2.0,2.0
634,32412.0,5729.0,2.0,2.0
635,32412.0,12281.0,2.0,2.0
636,32412.0,18026.0,2.0,2.0
637,32412.0,22331.0,2.0,2.0
638,32412.0,26777.0,2.0,2.0
639,32412.0,29173.0,2.0,2.0
640,32412.0,30503.0,2.0,2.0
641,32412.0,43119.0,2.0,2.0
642,32625.0,1965.0,2.0,2.0
643,32625.0,5044.0,2.0,2.0
644,32625.0,10018.0,2.0,2.0
645,32625.0,10138.0,2.0,2.0
646,32625.0,10761.0,2.0,2.0
647,32625.0,29298.0,2.0,2.0
648,32625.0,34544.0,2.0,2.0
649,32625.0,42649.0,2.0,2.0
650,32933.0,1833.0,2.0,2.0
651,32933.0,20981.0,2.0,2.0
652,33013.0,12775.0,2.0,2.0
653,33013.0,14550.0,2.0,2.0
654,33013.0,19516.0,2.0,2.0
655,33089.0,4264.0,2.0,2.0
656,33089.0,5647.0,2.0,2.0
657,33089.0,11991.0,2.0,2.0
658,33089.0,45432.0,2.0,2.0
659,33225.0,22429.0,2.0,2.0
660,33225.0,26219.0,2.0,2.0
661,33257.0,2837.0,2.0,2.0
662,33257.0,8020.0,2.0,2.0
663,33257.0,17617.0,2.0,2.0
664,33257.0,36851.0,2.0,2.0
665,33514.0,5647.0,2.0,2.0
666,33514.0,21046.0,2.0,2.0
667,33514.0,27200.0,2.0,2.0
668,33514.0,35134.0,2.0,2.0
669,33514.0,41380.0,2.0,2.0
670,33514.0,42049.0,2.0,2.0
671,33514.0,49470.0,2.0,2.0
672,33700.0,6534.0,2.0,2.0
673,33700.0,24535.0,2.0,2.0
674,33810.0,17425.0,2.0,2.0
675,33810.0,19699.0,2.0,2.0
676,33810.0,21696.0,2.0,2.0
677,33810.0,27200.0,2.0,2.0
678,33810.0,34874.0,2.0,2.0
679,33810.0,40508.0,2.0,2.0
680,33871.0,12782.0,2.0,2.0
681,33908.0,10138.0,2.0,2.0
682,33908.0,10367.0,2.0,2.0
683,33908.0,16192.0,2.0,2.0
684,33908.0,29165.0,2.0,2.0
685,33908.0,44940.0,2.0,2.0
686,33908.0,49583.0,2.0,2.0
687,34450.0,8142.0,2.0,2.0
688,34450.0,15736.0,2.0,2.0
689,34450.0,22307.0,2.0,2.0
690,34544.0,153.0,2.0,2.0
